Country name,Year,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Perceptions of corruption,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Happy country
Australia,2005,7.340688228607178,10.658608436584473,0.9678921699523926,0.9349732995033264,0.3904159367084503,9.712082,34.967968,56.66475,60.9752918764891,15.02158,0.129,7.3939061,1
Belgium,2005,7.2622904777526855,10.74460506439209,0.9348747134208679,0.9238430261611938,0.5975544452667236,11.50089,33.903755,72.53625,33.6516478821503,17.53043,0.092,6.2390046,1
Brazil,2005,6.636771202087402,9.438417434692383,0.8829229474067688,0.8821861147880554,0.744994044303894,3.078508,63.191654,93.9386394444911,51.1266636540454,38.00332,0.307,14.717641,1
Canada,2005,7.41804838180542,10.651750564575195,0.9615524411201477,0.9573062658309937,0.5026811957359314,9.665751,14.816504,57.4072297938867,55.1076448952314,10.57241,0.15,6.8949122,1
Czech Republic,2005,6.43925666809082,10.324370384216309,0.9187594652175903,0.8652349710464478,0.9007327556610107,6.528077,10.074598,57.9333353966668,31.2066329181842,20.28923,0.096,5.3065124,1
Denmark,2005,8.01893424987793,10.851396560668945,0.972371518611908,0.9711350202560425,0.23652170598506927,7.593154,18.983217,82.9709574273935,58.6689437181275,8.948572,0.035,4.3055868,1
France,2005,7.093392848968506,10.641690254211426,0.9403382539749146,0.8948192596435547,0.687850832939148,10.3273,33.189934,85.525,40.146622731306,13.88573,0.12,6.3386559,1
Germany,2005,6.619549751281738,10.689224243164062,0.96349036693573,0.8466237783432007,0.7810068130493164,9.556102,16.892855,83.346208365521,39.542400943988,14.78035,0.084,4.381598,1
Greece,2005,6.006309986114502,10.461699485778809,0.8365394473075867,0.7341718077659607,0.8605630993843079,14.20847,42.286209,136.504861321601,23.6502410606961,38.65008,0.143,11.548344,1
Hungary,2005,5.193933486938477,10.107747077941895,0.9296282529830933,0.6968744993209839,0.9028106927871704,7.354639,23.609816,67.095470790453,25.1568123545203,16.97581,0.101,6.4243822,0
Italy,2005,6.85378360748291,10.702737808227539,0.9280006885528564,0.8021949529647827,0.9439123272895813,8.730396,49.913864,108.225783495829,33.3916393469551,30.67804,0.16,11.154937,1
Japan,2005,6.515817165374756,10.529192924499512,0.9277119636535645,0.8677792549133301,0.6989297270774841,3.611259,39.939026,103.490130254451,27.0271481785631,14.53227,0.14,4.857934,1
Mexico,2005,6.580657958984375,9.78780746459961,0.9028076529502869,0.8137454986572266,0.7642490267753601,6.043523,71.844093,58.0488548780871,37.1986281216122,35.71515,0.227,17.275589,1
Netherlands,2005,7.463979244232178,10.813765525817871,0.9473579525947571,0.9010077714920044,0.5713422298431396,11.54205,28.181055,106.2215,63.6186313994424,16.25335,0.092,3.0526316,1
Poland,2005,5.587209224700928,9.848785400390625,0.921527624130249,0.7824731469154358,0.9829308986663818,5.817928,14.887128,56.0049999975989,35.5606236777172,27.90311,0.179,1.6876541,0
