Country,Year,Happiness index,GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country code,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Households overcrowding,Internet access,Home access to computers,Unemployment benefits,Average wage,Health spending,Happy country
Italy,2005,5.954524040222168,10.622243881225586,0.9272128343582153,73.19999694824219,0.623741626739502,-0.08054095506668091,0.9028012156486511,0.6854228377342224,0.3391735851764679,ITA,-5.38746,39.856853,100.25,23.7599087653847,28.1497,0.173,9.3510122,18.7346443533897,78.51,72.5436,59.0,40192.9359760561,8.725,1
Belgium,2006,6.948936462402344,10.819169998168945,0.9289640784263611,71.5999984741211,0.865759015083313,-0.05582595616579056,0.4966591000556946,0.7645900845527649,0.25965338945388794,BEL,0.7330465,24.905834,102.6405,41.917750565944,18.44934,0.092,4.3335156,2.63992063701153,84.7857,82.0915,81.0,55525.9899435912,10.773,1
Brazil,2006,6.190921783447266,9.588520050048828,0.8815052509307861,66.4000015258789,0.7506090402603149,-0.11700194329023361,0.7632513046264648,0.7497278451919556,0.34965625405311584,BRA,0.8703139,46.954311,102.598911587209,16.8186652631908,36.78617,0.341,18.686466,11.405780157246307,66.6629816,41.75858235,42.07643312101911,40640.148718197495,9.465,0
Chile,2006,6.579056262969971,10.074141502380371,0.8413881659507751,69.69999694824219,0.6522897481918335,0.10244280844926834,0.8581249713897705,0.8692288994789124,0.2830421030521393,CHL,1.766,35.133507,106.7245,20.3538864780734,25.63964,0.211,11.449327,9.25341174006462,79.29779525,63.62938219,37.0,28252.1064199064,8.519,1
Colombia,2006,6.448789119720459,9.546182632446289,0.9074026346206665,66.58000183105469,0.8011914491653442,-0.09032198786735535,0.8866457343101501,0.8470802903175354,0.27805644273757935,COL,2.897819,48.033009,91.7764999999999,29.8372499097274,53.23745,0.15151481481481477,18.539675,11.405780157246307,37.98099824,44.4665857,42.07643312101911,40640.148718197495,1.17,0
Costa Rica,2006,7.135617733001709,9.830493927001953,0.9007012844085693,70.9000015258789,0.8729719519615173,-0.03244306519627571,0.7805620431900024,0.8735843896865845,0.28142228722572327,CRI,3.1273992436044358,60.063385,102.605357044063,27.9027573663895,23.44056,0.275,19.001392,11.405780157246307,64.8,51.7,42.07643312101911,40640.148718197495,1.61,0
Czech Republic,2006,6.897091388702393,10.530134201049805,0.9640536904335022,71.30000305175781,0.9064220190048218,-0.1270223706960678,0.8836995959281921,0.8320576548576355,0.29044169187545776,CZE,-1.359481,5.9468889,153.850000000481,31.8858991214926,20.28003,0.064,2.3831904,12.2350238263607,88.0204,82.1815,13.0,29884.5888161355,9.068,0
Estonia,2006,6.452563762664795,10.458588600158691,0.9577704668045044,69.0,0.9542005658149719,-0.08227915316820145,0.39783477783203125,0.8069238066673279,0.1876794993877411,EST,-7.190845,9.3462172,132.791668025577,46.4805976813481,19.878318357723604,0.087,4.0074296,9.94999706745148,89.9774,86.909,46.0,30720.2630723187,8.052,0
France,2006,7.0080647468566895,10.67364501953125,0.9353505969047546,71.83999633789062,0.8333271145820618,-0.03102123737335205,0.6688758134841919,0.7456715106964111,0.2806192934513092,FRA,11.52482,30.401829,103.025,40.146622731306,10.56143,0.12,5.8130507,8.01367536187172,62.3197,68.3557,69.0,42102.2967323037,10.501,0
Greece,2006,5.8395586013793945,10.433106422424316,0.8684224486351013,71.5,0.4841109812259674,-0.3028769791126251,0.9541138410568237,0.633947491645813,0.29151639342308044,GRC,28.79691,37.26366,152.88,23.6502410606961,38.7464,0.156,7.4717603,19.0945625305176,46.3512,53.3865,41.0,32421.798286579,9.597,0
