"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2001",40,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2002",39,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2003",38,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2004",38,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2005",37,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2006",36,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2007",36,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2008",34,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2009",33,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2010",32,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2011",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2012",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2013",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2014",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2015",32,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2020",30,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2001",40,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2002",39,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2003",38,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2004",38,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2005",37,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2006",36,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2007",36,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2008",34,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2009",33,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2010",32,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2011",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2012",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2013",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2014",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2015",32,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2020",30,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2001",40,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2002",39,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2003",38,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2004",38,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2005",37,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2006",36,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2007",36,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2008",34,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2009",33,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2010",32,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2011",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2012",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2013",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2014",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2015",32,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2020",30,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2001",40,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2002",39,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2003",38,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2004",38,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2005",37,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2006",36,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2007",36,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2008",34,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2009",33,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2010",32,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2011",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2012",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2013",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2014",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2015",32,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2020",30,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2001",40,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2002",39,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2003",38,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2004",38,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2005",37,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2006",36,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2007",36,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2008",34,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2009",33,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2010",32,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2011",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2012",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2013",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2014",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2015",32,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2020",30,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2001",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2002",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2003",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2004",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2005",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2006",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2007",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2008",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2009",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2010",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2011",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2012",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2013",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2014",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2015",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2016",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2017",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2018",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2019",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2020",51,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2001",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2002",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2003",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2004",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2005",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2006",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2007",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2008",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2009",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2010",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2011",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2012",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2013",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2014",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2015",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2016",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2017",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2018",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2019",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2020",55,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2001",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2002",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2003",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2004",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2005",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2006",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2007",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2008",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2009",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2010",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2011",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2012",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2013",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2014",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2015",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2016",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2017",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2018",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2019",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2020",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2001",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2002",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2003",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2004",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2005",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2006",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2007",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2008",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2009",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2010",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2011",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2012",51,
