"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55237970789249,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85135211850854,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18366717734076,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83718307899074,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69019915810019,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20200880556586,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79384080833562,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26786212135214,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.59017438577135,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46041749970321,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43457853337023,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.7077119778261,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550312282778,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296361962252,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8538670902174,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0619823709888,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9702528799424,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7789322108205,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1088387994144,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5876027086384,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9336440702782,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5288352122987,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.8887182284041,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.5115926793558,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.3895490483163,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6960428257687,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9036676427526,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.9417917276721,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9211483162518,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0191476573939,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.5956727672035,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3685122986823,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3723894582723,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3756566617862,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.647,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.66475,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5795,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.96025,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.60275,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.42125,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.877,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.13475,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.88025,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1065,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.72025,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.5,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.30825,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.66375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.08375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2020",113.916499998235,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",56.7377932325933,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",58.2180750205709,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",59.2380236188078,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",61.3436151940569,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",62.2637913228346,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",57.9005183176978,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",57.5862952078265,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",56.4368127781381,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",53.7882917906414,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",54.3623710142634,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",55.2846841941736,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",57.0098846204923,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",53.3673012824139,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",52.2295585027385,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",53.4401853047024,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",55.1683492255829,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",55.104854174791,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",54.7896484745075,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",61.5443502822233,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",69.4400065240577,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",65.4920108594014,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",66.6502784436235,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",65.7332652256624,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",65.7770382245194,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",65.0779980611245,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.1668822548023,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.5524852600703,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",60.8003504352191,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.4078940002312,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",65.9344830919745,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",67.6988741782601,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",69.6550278304367,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.0303178404903,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",91.4825191655478,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",90.9075965652921,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.0636691515774,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.4702382454785,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.2257210751351,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",88.5895609739351,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.6614751474846,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",94.089666378704,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.5777698976434,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",85.1117726129669,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",88.1986119302069,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",92.9485206393724,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",104.878025693243,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",112.139189825179,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2018",107.740492186904,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2019",100.561609097459,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2020",100.126623214415,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1973",40.9202176710004,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1974",45.0634573442218,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1975",42.9199635611367,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1976",41.704421099497,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1977",40.6310413805757,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1978",39.463381829434,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1979",41.1628366517466,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1980",43.5727892907665,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1981",46.4066122748444,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1982",43.04791036839,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1983",41.7513849468647,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1984",43.376131735986,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1985",44.0623438256617,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1986",42.737654070858,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1987",40.9724684134327,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1988",44.9664897202561,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1989",51.3443566239109,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1990",49.1966456902832,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1991",48.8618346535246,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1992",49.1467666445799,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1993",50.1926458390242,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1994",51.6288755143553,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1995",51.3754993825568,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1996",50.2538936103875,
