"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","OVERCROWDING","TOT","PC","A","2010",10.2343186736107,
"AUT","OVERCROWDING","TOT","PC","A","2011",10.712655633688,
"AUT","OVERCROWDING","TOT","PC","A","2012",11.59403398633,
"AUT","OVERCROWDING","TOT","PC","A","2013",11.9282573461533,
"AUT","OVERCROWDING","TOT","PC","A","2014",12.6881659030914,
"AUT","OVERCROWDING","TOT","PC","A","2015",11.3668158650398,
"AUT","OVERCROWDING","TOT","PC","A","2016",11.3846279680729,
"AUT","OVERCROWDING","TOT","PC","A","2017",12.2610963881016,
"AUT","OVERCROWDING","TOT","PC","A","2018",10.8559958636761,
"AUT","OVERCROWDING","TOT","PC","A","2019",12.3769402503967,
"BEL","OVERCROWDING","TOT","PC","A","2010",3.69981303811073,
"BEL","OVERCROWDING","TOT","PC","A","2011",1.94322224706411,
"BEL","OVERCROWDING","TOT","PC","A","2012",1.53218377381563,
"BEL","OVERCROWDING","TOT","PC","A","2013",1.6174390912056,
"BEL","OVERCROWDING","TOT","PC","A","2014",1.83799378573894,
"BEL","OVERCROWDING","TOT","PC","A","2015",1.17988418787718,
"BEL","OVERCROWDING","TOT","PC","A","2016",2.63992063701153,
"BEL","OVERCROWDING","TOT","PC","A","2017",3.5044826567173,
"BEL","OVERCROWDING","TOT","PC","A","2018",4.54625263810158,
"BEL","OVERCROWDING","TOT","PC","A","2019",5.92083893716335,
"CAN","OVERCROWDING","TOT","PC","A","2016",0.654061091181972,
"CZE","OVERCROWDING","TOT","PC","A","2010",17.2096505761146,
"CZE","OVERCROWDING","TOT","PC","A","2011",16.0967275500298,
"CZE","OVERCROWDING","TOT","PC","A","2012",15.5068978667259,
"CZE","OVERCROWDING","TOT","PC","A","2013",15.6666770577431,
"CZE","OVERCROWDING","TOT","PC","A","2014",15.2037367224693,
"CZE","OVERCROWDING","TOT","PC","A","2015",13.6962726712227,
"CZE","OVERCROWDING","TOT","PC","A","2016",13.5622650384903,
"CZE","OVERCROWDING","TOT","PC","A","2017",12.1958412230015,
"CZE","OVERCROWDING","TOT","PC","A","2018",12.2350238263607,
"CZE","OVERCROWDING","TOT","PC","A","2019",11.6084307432175,
"DNK","OVERCROWDING","TOT","PC","A","2010",7.14356750249863,
"DNK","OVERCROWDING","TOT","PC","A","2011",7.3298379778862,
"DNK","OVERCROWDING","TOT","PC","A","2012",7.09000900387764,
"DNK","OVERCROWDING","TOT","PC","A","2013",7.5532428920269,
"DNK","OVERCROWDING","TOT","PC","A","2014",7.42699354887009,
"DNK","OVERCROWDING","TOT","PC","A","2015",8.22071507573128,
