"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMP","MEN","PC_EMP","A","1991",17.05383,
"AUS","SELFEMP","MEN","PC_EMP","A","1992",17.29272,
"AUS","SELFEMP","MEN","PC_EMP","A","1993",17.70463,
"AUS","SELFEMP","MEN","PC_EMP","A","1994",17.12308,
"AUS","SELFEMP","MEN","PC_EMP","A","1995",16.86881,
"AUS","SELFEMP","MEN","PC_EMP","A","1996",16.49697,
"AUS","SELFEMP","MEN","PC_EMP","A","1997",16.1936,
"AUS","SELFEMP","MEN","PC_EMP","A","1998",15.99786,
"AUS","SELFEMP","MEN","PC_EMP","A","1999",16.06421,
"AUS","SELFEMP","MEN","PC_EMP","A","2000",15.98671,
"AUS","SELFEMP","MEN","PC_EMP","A","2001",15.99328,
"AUS","SELFEMP","MEN","PC_EMP","A","2002",16.13657,
"AUS","SELFEMP","MEN","PC_EMP","A","2003",15.8563,
"AUS","SELFEMP","MEN","PC_EMP","A","2004",15.36584,
"AUS","SELFEMP","MEN","PC_EMP","A","2005",15.02158,
"AUS","SELFEMP","MEN","PC_EMP","A","2006",14.57554,
"AUS","SELFEMP","MEN","PC_EMP","A","2007",14.08298,
"AUS","SELFEMP","MEN","PC_EMP","A","2008",13.71566,
"AUS","SELFEMP","MEN","PC_EMP","A","2009",13.91933,
"AUS","SELFEMP","MEN","PC_EMP","A","2010",13.77405,
"AUS","SELFEMP","MEN","PC_EMP","A","2011",13.2206,
"AUS","SELFEMP","MEN","PC_EMP","A","2012",12.21689,
"AUS","SELFEMP","MEN","PC_EMP","A","2013",11.97545,
"AUS","SELFEMP","MEN","PC_EMP","A","2014",12.05244,
"AUS","SELFEMP","MEN","PC_EMP","A","2015",12.13235,
"AUS","SELFEMP","MEN","PC_EMP","A","2016",11.719,
"AUS","SELFEMP","MEN","PC_EMP","A","2017",11.61789,
"AUS","SELFEMP","MEN","PC_EMP","A","2018",11.37172,
"AUS","SELFEMP","MEN","PC_EMP","A","2019",11.33459,
"AUS","SELFEMP","MEN","PC_EMP","A","2020",10.82319,
"AUS","SELFEMP","TOT","PC_EMP","A","1991",14.94006,
"AUS","SELFEMP","TOT","PC_EMP","A","1992",15.03843,
"AUS","SELFEMP","TOT","PC_EMP","A","1993",15.35481,
"AUS","SELFEMP","TOT","PC_EMP","A","1994",14.87991,
"AUS","SELFEMP","TOT","PC_EMP","A","1995",14.55845,
"AUS","SELFEMP","TOT","PC_EMP","A","1996",14.23103,
"AUS","SELFEMP","TOT","PC_EMP","A","1997",14.17805,
"AUS","SELFEMP","TOT","PC_EMP","A","1998",13.68025,
"AUS","SELFEMP","TOT","PC_EMP","A","1999",13.66896,
"AUS","SELFEMP","TOT","PC_EMP","A","2000",13.52428,
"AUS","SELFEMP","TOT","PC_EMP","A","2001",13.36005,
"AUS","SELFEMP","TOT","PC_EMP","A","2002",13.49648,
"AUS","SELFEMP","TOT","PC_EMP","A","2003",13.12908,
"AUS","SELFEMP","TOT","PC_EMP","A","2004",12.79168,
"AUS","SELFEMP","TOT","PC_EMP","A","2005",12.59696,
